"df.ind"	"df.values"
"561"	"ZAR1"	7.12506786137581
"562"	"LNX1-AS2"	7.12506786137581
"563"	"NMU"	7.12506786137581
"564"	"AC110611.1"	7.12506786137581
"565"	"SPINK2"	7.12506786137581
"566"	"AC111197.1"	7.12506786137581
"567"	"LINC02271"	7.12506786137581
"568"	"AC104806.2"	7.12506786137581
"569"	"GNRHR"	7.12506786137581
"570"	"TMPRSS11D"	7.12506786137581
"571"	"PLAC8"	7.12506786137581
"572"	"HPSE"	7.12506786137581
"573"	"HSD17B13"	7.12506786137581
"574"	"AC104785.1"	7.12506786137581
"575"	"GPRIN3"	7.12506786137581
"576"	"ATOH1"	7.12506786137581
"577"	"AC019131.3"	7.12506786137581
"578"	"C4orf54"	7.12506786137581
"579"	"DKK2"	7.12506786137581
"580"	"AC004067.1"	7.12506786137581
"581"	"PITX2"	7.12506786137581
"582"	"LINC01378"	7.12506786137581
"583"	"PRSS12"	7.12506786137581
"584"	"SYNPO2"	7.12506786137581
"585"	"AC097173.2"	7.12506786137581
"586"	"TRPC3"	7.12506786137581
"587"	"AC093821.1"	7.12506786137581
"588"	"LINC02435"	7.12506786137581
"589"	"AC093772.2"	7.12506786137581
"590"	"AC110609.1"	7.12506786137581
"591"	"JADRR"	7.12506786137581
"592"	"AC108052.1"	7.12506786137581
"593"	"AC131956.2"	7.12506786137581
"594"	"AC131956.3"	7.12506786137581
"595"	"LINC00616"	7.12506786137581
"596"	"AC093903.1"	7.12506786137581
"597"	"LINC00498"	7.12506786137581
"598"	"LINC00499"	7.12506786137581
"599"	"MGARP"	7.12506786137581
"600"	"AC108053.1"	7.12506786137581
"601"	"CLGN"	7.12506786137581
"602"	"AC107223.1"	7.12506786137581
"603"	"AC098588.3"	7.12506786137581
"604"	"AC104819.3"	7.12506786137581
"605"	"FBXW7-AS1"	7.12506786137581
"606"	"AC079298.3"	7.12506786137581
"607"	"LRAT"	7.12506786137581
"608"	"TMEM144"	7.12506786137581
"609"	"AC023136.1"	7.12506786137581
"610"	"TRIM61"	7.12506786137581
"611"	"GK3P"	7.12506786137581
"612"	"AC084724.1"	7.12506786137581
"613"	"MFAP3L"	7.12506786137581
"614"	"AC097534.1"	7.12506786137581
"615"	"AC093849.3"	7.12506786137581
"616"	"LINC02268"	7.12506786137581
"617"	"HPGD"	7.12506786137581
"618"	"GLRA3"	7.12506786137581
"619"	"AC027627.1"	7.12506786137581
"620"	"AC079226.2"	7.12506786137581
"621"	"AC079766.1"	7.12506786137581
"622"	"CLDN22"	7.12506786137581
"623"	"ENPP6"	7.12506786137581
"624"	"AC099343.2"	7.12506786137581
"625"	"MIR3945HG"	7.12506786137581
"626"	"LINC02436"	7.12506786137581
"627"	"AC106897.1"	7.12506786137581
"628"	"SORBS2"	7.12506786137581
"629"	"FAM149A"	7.12506786137581
"630"	"AC107050.1"	7.12506786137581
"631"	"AC093909.4"	7.12506786137581
"632"	"AF250324.1"	7.12506786137581
"633"	"LINC01596"	7.12506786137581
"634"	"AC010442.1"	7.12506786137581
"635"	"SLC6A18"	7.12506786137581
"636"	"AC124852.1"	7.12506786137581
"637"	"ADCY2"	7.12506786137581
"638"	"MIR4458HG"	7.12506786137581
"639"	"AC034229.1"	7.12506786137581
"640"	"LINC01513"	7.12506786137581
"641"	"AC016549.1"	7.12506786137581
"642"	"AC016575.1"	7.12506786137581
"643"	"AC016650.1"	7.12506786137581
"644"	"AC026785.2"	7.12506786137581
"645"	"AC093274.1"	7.12506786137581
"646"	"AC091938.1"	7.12506786137581
"647"	"AC114930.1"	7.12506786137581
"648"	"LINC02211"	7.12506786137581
"649"	"AC022140.1"	7.12506786137581
"650"	"PURPL"	7.12506786137581
"651"	"AC008766.1"	7.12506786137581
"652"	"AC010343.3"	7.12506786137581
"653"	"AC034223.1"	7.12506786137581
"654"	"TTC23L"	7.12506786137581
"655"	"EGFLAM-AS1"	7.12506786137581
"656"	"AC008964.1"	7.12506786137581
"657"	"AC025171.5"	7.12506786137581
"658"	"NIM1K"	7.12506786137581
"659"	"AC114947.2"	7.12506786137581
"660"	"PARP8"	7.12506786137581
"661"	"AC025180.1"	7.12506786137581
"662"	"AC008966.2"	7.12506786137581
"663"	"LINC01033"	7.12506786137581
"664"	"AC026704.1"	7.12506786137581
"665"	"RAB3C"	7.12506786137581
"666"	"AC109133.1"	7.12506786137581
"667"	"ELOVL7"	7.12506786137581
"668"	"C5orf64-AS1"	7.12506786137581
"669"	"LRRC70"	7.12506786137581
"670"	"RNF180"	7.12506786137581
"671"	"AC112206.2"	7.12506786137581
"672"	"AC010273.3"	7.12506786137581
"673"	"AC140134.2"	7.12506786137581
"674"	"AC116345.1"	7.12506786137581
"675"	"AC008897.3"	7.12506786137581
"676"	"ANKDD1B"	7.12506786137581
